,datetime,IF2009,IF2006,spread,avg3,avg5,gap,grid,hold,service,bag,revenue,account
0,2020-03-24 09:30:00,3492.4,3540.0,-47.6,-45.365880721220535,-42.65678601165695,-2.234119278779467,3,1,0,0,649.7642163661595,649.7642163661595
1,2020-03-24 09:31:00,3494.8,3545.2,-50.4,-45.38945908460472,-42.661115736885925,-5.010540915395282,2,1,0,0,-190.23578363383962,-190.23578363383962
2,2020-03-24 09:32:00,3502.0,3552.0,-50.0,-45.40638002773925,-42.67010824313073,-4.593619972260747,2,1,0,0,-70.23578363384004,-70.23578363384004
3,2020-03-24 09:33:00,3493.0,3541.2,-48.2,-45.423023578363384,-42.67776852622814,-2.7769764216366184,3,1,0,0,469.7642163661591,469.7642163661591
4,2020-03-24 09:34:00,3489.6,3539.2,-49.6,-45.43051317614424,-42.68559533721898,-4.169486823855763,2,1,0,0,49.76421636615953,49.76421636615953
5,2020-03-24 09:35:00,3495.8,3546.4,-50.6,-45.44133148404993,-42.69292256452956,-5.158668515950069,2,1,0,0,-250.23578363384047,-250.23578363384047
6,2020-03-24 09:36:00,3502.2,3554.0,-51.8,-45.46740638002774,-42.69975020815987,-6.332593619972258,2,1,0,0,-610.2357836338392,-610.2357836338392
7,2020-03-24 09:37:00,3500.2,3552.4,-52.2,-45.485159500693484,-42.70791007493755,-6.7148404993065185,1,1,0,0,-730.2357836338409,-730.2357836338409
8,2020-03-24 09:38:00,3500.0,3551.4,-51.4,-45.5001386962552,-42.71507077435471,-5.8998613037448,2,1,0,0,-490.2357836338396,-490.2357836338396
9,2020-03-24 09:39:00,3500.6,3552.0,-51.4,-45.519278779472955,-42.72672772689426,-5.880721220527043,2,1,0,0,-490.2357836338396,-490.2357836338396
10,2020-03-24 09:40:00,3493.4,3543.2,-49.8,-45.54202496532594,-42.73022481265612,-4.257975034674054,2,1,0,0,-10.23578363383919,-10.23578363383919
11,2020-03-24 09:41:00,3494.8,3547.4,-52.6,-45.561997226074894,-42.73688592839301,-7.038002773925108,1,1,0,0,-850.2357836338405,-850.2357836338405
